ID;name;count;lat;lon
31067;Columbia Pike & S Walter Reed Dr;154;38.86248;-77.08660
31035;N Quincy St & Glebe Rd;150;38.87639;-77.10772
32036;Fenton St & Ellsworth Dr ;150;38.99699;-77.02557
32220;Sunset Hills Rd & Isaac Newton Square;150;38.95144;-77.34037
31045;Commerce St & Fayette St;146;38.80565;-77.05293
31501;12th & Newton St NE;146;38.93368;-76.99103
31315;Connecticut Ave & McKinley St NW;144;38.96454;-77.07514
31907;Franklin St & S Washington St;144;38.79813;-77.04871
31056;Troy St & 26th St S;143;38.84798;-77.07511
31971;Penrose Sq/Columbia Pike & S Barton St;143;38.86351;-77.08424
31017;Wilson Blvd & N Uhle St;140;38.89170;-77.08460
31801;Anacostia Metro;140;38.86267;-76.99465
31081;Duke St & John Carlyle St;138;38.80438;-77.06086
32402;Baltimore Ave & Van Buren St / Riverdale Park Station;138;38.96958;-76.93735
31301;Ward Circle / American University;137;38.93874;-77.08718
32026;Carroll & Ethan Allen Ave;137;38.97794;-77.00643
32049;WAU / Flower Ave & Division St;137;38.98673;-77.00002
31915;Powhatan St & Bashford Ln;136;38.81875;-77.04778
31038;Glebe Rd & 11th St N;135;38.88392;-77.11682
31085;Mount Vernon Ave & E Nelson Ave;135;38.82006;-77.05762
32421;Riverdale Park Town Center;135;38.96212;-76.93558
31923;Columbia Pike & George Mason Dr;134;38.85932;-77.10203
31919;Carlin Springs Rd & N Thomas St;132;38.87670;-77.11298
31948;W&OD Trail & Langston Blvd;131;38.88714;-77.16210
31065;Pershing Dr & Wayne St;130;38.88071;-77.08602
31903;Royal St & Wilkes St;130;38.79927;-77.04470
32420;Prince George's Plaza Metro;129;38.96574;-76.95480
31075;Rolfe St & 9th St S;128;38.86647;-77.07613
31920;Washington-Liberty High School / N Stafford St & Generals Way;127;38.88828;-77.11107
32000;Norfolk Ave & Fairmont St;124;38.98857;-77.09655
31905;Kennebec St & 11th St N;123;38.88100;-77.13527
31933;Duke St & Strand (Robinson Terminal);123;38.80195;-77.04029
31033;Barcroft Community Center;122;38.85034;-77.10099
31090;Long Bridge Park / Long Bridge Dr & 6th St S;122;38.86555;-77.05003
31416;14th & Luzon St NW;122;38.96948;-77.03349
31900;Langston Blvd & N Woodstock St;122;38.89830;-77.11801
32008;Cordell & Norfolk Ave;122;38.98955;-77.09802
32012;Silver Spring Metro / Colesville Rd & Wayne Ave;122;38.99524;-77.02911
32039;Old Georgetown Rd & Southwick St;122;38.99963;-77.10965
31069;Pershing Dr & N George Mason Dr;121;38.87181;-77.10792
31955;King St & Peyton St;119;38.80603;-77.05608
31073;Washington Blvd & Walter Reed Dr ;118;38.87323;-77.08210
31317;Wisconsin Ave & Ingomar St NW;118;38.95827;-77.08463
32024;Fenton St & Gist Ave;118;38.98972;-77.02385
32406;Fleet St & Waterfront St;117;38.78264;-77.01606
31423;Kansas Ave & Longfellow St NW;116;38.95777;-77.01347
31036;George Mason Dr & Wilson Blvd;115;38.87887;-77.12070
31902;Wilson Blvd & N Illinois St ;115;38.87653;-77.12712
31076;S Randolph St & Campbell Ave;114;38.84064;-77.08868
31012;Clark St & 26th St S;113;38.85068;-77.05152
31412;3rd St & Riggs Rd NE;113;38.95746;-77.00224
32013;Montgomery & East Ln;112;38.98352;-77.09536
